Comuna;FECHA_INMUNIZACION;N° de vacunados;Criterio_elegibilidad;Servicio;FECHA_INMUNIZACION2;Campaña
Alhué;2023-03-15;34;Población General;Occidente;03-15;2023
Alhué;2023-03-16;43;Población General;Occidente;03-16;2023
Alhué;2023-03-17;91;Población General;Occidente;03-17;2023
Alhué;2023-03-18;26;Población General;Occidente;03-18;2023
Alhué;2023-03-20;88;Población General;Occidente;03-20;2023
Alhué;2023-03-21;113;Población General;Occidente;03-21;2023
Alhué;2023-03-22;62;Población General;Occidente;03-22;2023
Alhué;2023-03-23;72;Población General;Occidente;03-23;2023
Alhué;2023-03-24;66;Población General;Occidente;03-24;2023
Alhué;2023-03-25;24;Población General;Occidente;03-25;2023
Alhué;2023-03-27;74;Población General;Occidente;03-27;2023
Alhué;2023-03-28;46;Población General;Occidente;03-28;2023
Alhué;2023-03-29;74;Población General;Occidente;03-29;2023
Alhué;2023-03-30;58;Población General;Occidente;03-30;2023
Alhué;2023-03-31;102;Población General;Occidente;03-31;2023
Alhué;2023-04-01;21;Población General;Occidente;04-01;2023
Alhué;2023-04-03;90;Población General;Occidente;04-03;2023
Alhué;2023-04-04;31;Población General;Occidente;04-04;2023
Alhué;2023-04-05;96;Población General;Occidente;04-05;2023
Alhué;2023-04-06;65;Población General;Occidente;04-06;2023
Buin;2023-03-15;261;Población General;Sur;03-15;2023
Buin;2023-03-16;360;Población General;Sur;03-16;2023
Buin;2023-03-17;732;Población General;Sur;03-17;2023
Buin;2023-03-18;17;Población General;Sur;03-18;2023
Buin;2023-03-20;774;Población General;Sur;03-20;2023
Buin;2023-03-21;792;Población General;Sur;03-21;2023
Buin;2023-03-22;720;Población General;Sur;03-22;2023
Buin;2023-03-23;887;Población General;Sur;03-23;2023
Buin;2023-03-24;679;Población General;Sur;03-24;2023
Buin;2023-03-25;130;Población General;Sur;03-25;2023
Buin;2023-03-27;659;Población General;Sur;03-27;2023
Buin;2023-03-28;639;Población General;Sur;03-28;2023
Buin;2023-03-29;674;Población General;Sur;03-29;2023
Buin;2023-03-30;698;Población General;Sur;03-30;2023
Buin;2023-03-31;471;Población General;Sur;03-31;2023
Buin;2023-04-01;161;Población General;Sur;04-01;2023
Buin;2023-04-03;559;Población General;Sur;04-03;2023
Buin;2023-04-04;598;Población General;Sur;04-04;2023
Buin;2023-04-05;503;Población General;Sur;04-05;2023
Buin;2023-04-06;315;Población General;Sur;04-06;2023
Calera de Tango;2023-03-15;33;Población General;Sur;03-15;2023
Calera de Tango;2023-03-16;10;Población General;Sur;03-16;2023
Calera de Tango;2023-03-17;21;Población General;Sur;03-17;2023
Calera de Tango;2023-03-20;143;Población General;Sur;03-20;2023
Calera de Tango;2023-03-21;155;Población General;Sur;03-21;2023
Calera de Tango;2023-03-22;172;Población General;Sur;03-22;2023
Calera de Tango;2023-03-23;155;Población General;Sur;03-23;2023
Calera de Tango;2023-03-24;163;Población General;Sur;03-24;2023
Calera de Tango;2023-03-25;15;Población General;Sur;03-25;2023
Calera de Tango;2023-03-27;129;Población General;Sur;03-27;2023
Calera de Tango;2023-03-28;116;Población General;Sur;03-28;2023
Calera de Tango;2023-03-29;382;Población General;Sur;03-29;2023
Calera de Tango;2023-03-30;491;Población General;Sur;03-30;2023
Calera de Tango;2023-03-31;130;Población General;Sur;03-31;2023
Calera de Tango;2023-04-03;172;Población General;Sur;04-03;2023
Calera de Tango;2023-04-04;128;Población General;Sur;04-04;2023
Calera de Tango;2023-04-05;183;Población General;Sur;04-05;2023
Calera de Tango;2023-04-06;508;Población General;Sur;04-06;2023
